# EPA eGRID2023 data file, PLNT23 extract. 17 USC 105.
# Plants in AZNM, CAMX, ERCT, RFCE, RFCW, SRVC. Columns: orispl, subregion, net_gen_mwh, co2_tons.
orispl,subregion,net_gen_mwh,co2_tons
64429,CAMX,3635,0
64751,CAMX,7514,0
57771,CAMX,16031,0
56898,CAMX,32615,1E-3
58437,CAMX,32098,0
58397,CAMX,9302,0
56897,CAMX,28699,0
56895,CAMX,87043.001999999993,0
58436,CAMX,30903,0
56428,CAMX,18779.001,0
58435,CAMX,31473,0
62687,CAMX,6642,0
60777,CAMX,270014,0
56706,CAMX,10501,44.064
59416,CAMX,2914,0
215,CAMX,7241,0
66456,CAMX,21588,0
59331,CAMX,3511,0
60279,CAMX,45762,0
60186,CAMX,106646,0
60187,CAMX,12569,0
61265,CAMX,36182,0
62320,CAMX,46916,0
61264,CAMX,234151,0
62673,CAMX,34735,0
62674,CAMX,11400,0
59557,CAMX,25933,0
59473,CAMX,15622,0
62547,CAMX,560174,0
10684,CAMX,244809.46,138725.13
64481,CAMX,356386,0
64564,CAMX,308146,0
58445,CAMX,2396,0
58446,CAMX,1383,0
58447,CAMX,3157,0
59737,CAMX,20112,0
64523,CAMX,2820,0
63300,CAMX,707034,0
58366,CAMX,33446,0
59414,CAMX,46543,0
57359,CAMX,10585,0
58039,CAMX,53738,0
50200,CAMX,27194.02,8739.2839999999997
65617,CAMX,3169,0
66533,CAMX,3616,0
66532,CAMX,3391,0
10650,CAMX,24812,9632.1689999999999
59428,CAMX,3283,0
61118,CAMX,1974,0
61117,CAMX,6725,0
217,CAMX,184360,0
218,CAMX,489703,0
56474,CAMX,20405,14438.486000000001
60481,CAMX,47358,0
60474,CAMX,44864,0
60475,CAMX,45578,0
59309,CAMX,119893,0
59308,CAMX,97186,0
50156,CAMX,5562,0
58508,CAMX,3873,0
10649,CAMX,47775,18853.351999999999
457,CAMX,2713,0
56346,CAMX,1865.0029999999999,1564.7940000000001
414,CAMX,82660,0
65203,CAMX,5825,0
219,CAMX,227786,0
58890,CAMX,1325,0
50170,CAMX,24008,7759.4880000000003
50622,CAMX,124671,40030.671999999999
62176,CAMX,71742,39256.428
52096,CAMX,14822,4899.1989999999996
10880,CAMX,11189,0
64418,CAMX,7855,0
