# EPA eGRID2023 Revision 2 PLNT23 extract. 17 USC 105.
# Official plant population, all 27 eGRID subregions.
# Columns: orispl, subregion, net_gen_mwh (PLNGENAN), co2_tons (PLCO2AN).
# Blank PLCO2AN stored as 0 so zero-carbon plants stay in the denominator.
# Negative PLNGENAN kept (Rev 2 correction). Plants with blank PLNGENAN omitted.
# Source: egrid2023_data_rev2.xlsx PLNT23, released 2025-06-12.
orispl,subregion,net_gen_mwh,co2_tons
10300,AZNM,201906,3556.849
10339,AZNM,20036.1,4257.589
10631,AZNM,335023,14875.041
10632,AZNM,311215,13817.964
10634,AZNM,359388,15956.855
10759,AZNM,336510,14941.042
10761,AZNM,339696,176830.136
10763,AZNM,68515,0
10878,AZNM,75893,3369.663
10879,AZNM,98488,4372.892
50210,AZNM,259350,11515.163
50766,AZNM,101667,0
50906,AZNM,75693,22929.941
54111,AZNM,326579.001,0
54271,AZNM,209084,81793.793
54349,AZNM,506052,204550.589
54350,AZNM,459349,193646.075
54594,AZNM,118,241.717
54628,AZNM,62462.26,19797.743
54667,AZNM,67302,48201.254
54689,AZNM,250141.999,11106.325
54694,AZNM,149275,66478.047
54724,AZNM,95037,0
54734,AZNM,0,0
54854,AZNM,31629.996,25275.874
54975,AZNM,29640,10518.95
54996,AZNM,319695,14194.454
55039,AZNM,552279.005,380916.687
55124,AZNM,3670670,1580277.363
55129,AZNM,2994698,1366098.493
55177,AZNM,2671767,1220071.765
55210,AZNM,1434480,631597.332
55282,AZNM,3496839,1526403.427
55306,AZNM,7390743,4459644.506
55322,AZNM,6886174,3058422.374
55343,AZNM,3576285,1487142.071
55372,AZNM,2326465,968559.157
55455,AZNM,4430509,1839597.815
55481,AZNM,7613036,3313551.845
55514,AZNM,2298718,951310.254
55522,AZNM,522679,317086.382
55687,AZNM,2141761,970282.684
55802,AZNM,242681,160833.806
55841,AZNM,2570246,1115869.129
55977,AZNM,428612,214977.136
55983,AZNM,302798,13444.247
55984,AZNM,37858,1680.902
56097,AZNM,584363,0
56228,AZNM,2627,0
56229,AZNM,54148.31,16415.013
56336,AZNM,796655,0
56405,AZNM,93301,1521.123
56482,AZNM,94899,60117.952
56500,AZNM,490659,248924.13
56568,AZNM,21723,0
56569,AZNM,88422.998,50961.816
56616,AZNM,175580,228.18
56812,AZNM,774723,0
56832,AZNM,28203,0
56945,AZNM,350139,0
56948,AZNM,422112.996,265827.622
56982,AZNM,193878,0
57098,AZNM,111556,0
57166,AZNM,23692,0
57213,AZNM,73201,0
57243,AZNM,57027,0
57318,AZNM,51359,0
57324,AZNM,32767,0
57338,AZNM,72567,0
57348,AZNM,64556,19468.454
57357,AZNM,201053,0
57364,AZNM,12793,0
57369,AZNM,719,0
57376,AZNM,66653,0
57379,AZNM,116724,0
57392,AZNM,403,0
57403,AZNM,17570,0
57442,AZNM,112661,0
57446,AZNM,642454.001,0
57451,AZNM,125758,0
57456,AZNM,82959,3683.378
57475,AZNM,381186,16924.676
57524,AZNM,1132,0
57556,AZNM,931,0
57560,AZNM,26269,0
57561,AZNM,41151,0
57562,AZNM,38964,0
57563,AZNM,40223,0
57567,AZNM,3984,0
57571,AZNM,15068,0
57575,AZNM,19390,0
57576,AZNM,9946,0
57577,AZNM,11300,0
57591,AZNM,10640,0
57657,AZNM,64758,0
57673,AZNM,0,0
57680,AZNM,348545.999,0
57684,AZNM,28265,0
57765,AZNM,5558.999,0
57775,AZNM,18074,0
57790,AZNM,31740,0
57795,AZNM,9102,0
57859,AZNM,589966,0
57883,AZNM,46444,0
57916,AZNM,15827.49,5164.511
57930,AZNM,4103,0
57939,AZNM,1793,0
57947,AZNM,131779,0
57985,AZNM,26276,0
57986,AZNM,25621,0
57997,AZNM,101512,0
58037,AZNM,6322,0
58042,AZNM,20270,0
58062,AZNM,32879,0
58098,AZNM,1132521,0
58147,AZNM,22875,0
58155,AZNM,222297,0
58171,AZNM,7535,0
58199,AZNM,41294,12836.386
58213,AZNM,30904,0
58240,AZNM,2592,0
58256,AZNM,479,0
58262,AZNM,33216,0
58284,AZNM,67728,39932.566
58292,AZNM,2010,0
58293,AZNM,2049,0
58383,AZNM,30261,0
58398,AZNM,25521,0
58477,AZNM,5772,0
58486,AZNM,48986,0
58489,AZNM,49663,0
58490,AZNM,83020,0
58501,AZNM,38509,0
58516,AZNM,2573,0
58517,AZNM,2742,0
58520,AZNM,18025,0
58521,AZNM,17536,0
58527,AZNM,537,0
58533,AZNM,118772,0
58539,AZNM,14390,0
58540,AZNM,1978,0
58543,AZNM,3565,0
58544,AZNM,51882,0
58545,AZNM,13339,0
58562,AZNM,1231179.012,671251.88
58588,AZNM,2088,0
58589,AZNM,2280,0
58621,AZNM,46213,0
58629,AZNM,35857.999,0
